"Date of Download: 2024-02-27_17:32:04"
"Search Parameters: Data Level:all  Trait List:  Trial List:1375,1367,1425,1353,1428,1356,1426,1352,1355,1430,1354,1376,1368,1424  Accession List:  Plot List:  Plant List:  Location List:46,37,45,22,25,38,26,44  Year List:2022,2023  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Canopy Reflectance - Blue - reflectance ratio|CO_321:0501191","Canopy Reflectance - Green - reflectance ratio|CO_321:0501192","Canopy Reflectance - NIR - reflectance ratio|CO_321:0501193","Canopy Reflectance - Red - reflectance ratio|CO_321:0501190","Canopy Reflectance - Red Edge - reflectance ratio|CO_321:0501189","Grain moisture content - %|CO_321:0001198","Grain test weight - g/l|CO_321:0001210","Grain yield - kg/ha|CO_321:0001218","Heading time - Julian date (JD)|CO_321:0001233","Lodging incidence - 0-9 percentage scale|CO_321:0001282","Maturity time - spike estimation - Julian date (JD)|CO_321:0501101","Plant height - cm|CO_321:0001301","Powdery midlew plant response - 0-10 response scale|CO_321:0501026","notes"
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1352","YT_Stj_22","Yield trial to evaluate IL breeding lines","p-rep","","","","","","2021-October-22","","25","St. Jacob Township, IL","272083","2020-5361","IL2020-5361","plot","304157","YT_Stj_22-1","1","1","1","1","1","test","","","","","","","13.3","762.83","5285.68","","","","","",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1352","YT_Stj_22","Yield trial to evaluate IL breeding lines","p-rep","","","","","","2021-October-22","","25","St. Jacob Township, IL","239982","19-25245","","plot","304503","YT_Stj_22-10","2","2","10","10","1","test","","","","","","","13","780.68","5509.44","","","","","",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1352","YT_Stj_22","Yield trial to evaluate IL breeding lines","p-rep","","","","","","2021-October-22","","25","St. Jacob Township, IL","271603","2020-16902","IL2020-16902","plot","304570","YT_Stj_22-100","2","2","100","28","3","test","","","","","","","12.2","765.96","5130.03","","","","","",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1352","YT_Stj_22","Yield trial to evaluate IL breeding lines","p-rep","","","","","","2021-October-22","","25","St. Jacob Township, IL","271440","2020-15546","IL2020-15546","plot","304549","YT_Stj_22-101","1","1","101","29","3","test","","","","","","","12","745.24","4171.87","","","","","",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1352","YT_Stj_22","Yield trial to evaluate IL breeding lines","p-rep","","","","","","2021-October-22","","25","St. Jacob Township, IL","239414","19-13748","","plot","304697","YT_Stj_22-102","2","2","102","30","3","test","","","","","","","12","781.93","5095.54","","","","","",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1352","YT_Stj_22","Yield trial to evaluate IL breeding lines","p-rep","","","","","","2021-October-22","","25","St. Jacob Township, IL","292434","IL16LCSDH-10-T-2665-8","","plot","304648","YT_Stj_22-103","1","1","103","31","3","test","","","","","","","12.2","771.03","4822.85","","","","","",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1352","YT_Stj_22","Yield trial to evaluate IL breeding lines","p-rep","","","","","","2021-October-22","","25","St. Jacob Township, IL","239662","19-19146","","plot","304721","YT_Stj_22-104","2","2","104","32","3","test","","","","","","","12","733.85","5172.51","","","","","",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1352","YT_Stj_22","Yield trial to evaluate IL breeding lines","p-rep","","","","","","2021-October-22","","25","St. Jacob Township, IL","239902","19-23855","IL19-23855","plot","304111","YT_Stj_22-105","1","1","105","33","3","test","","","","","","","12","746.5","5272.57","","","","","",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1352","YT_Stj_22","Yield trial to evaluate IL breeding lines","p-rep","","","","","","2021-October-22","","25","St. Jacob Township, IL","100570","Pio 25R74","25R74,P25R74,Pio 25R74,PIONEER25R74","plot","304708","YT_Stj_22-106","2","2","106","34","3","check","","","","","","","11.5","733.48","5573.46","","","","","",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1352","YT_Stj_22","Yield trial to evaluate IL breeding lines","p-rep","","","","","","2021-October-22","","25","St. Jacob Township, IL","271126","2020-12056","IL2020-12056","plot","304447","YT_Stj_22-107","1","1","107","35","3","test","","","","","","","12.1","725.82","5397.28","","","","","",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1352","YT_Stj_22","Yield trial to evaluate IL breeding lines","p-rep","","","","","","2021-October-22","","25","St. Jacob Township, IL","271825","2020-2749","IL2020-2749","plot","304470","YT_Stj_22-108","2","2","108","36","3","test","","","","","","","12.1","762.55","5520.3","","","","","",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1352","YT_Stj_22","Yield trial to evaluate IL breeding lines","p-rep","","","","","","2021-October-22","","25","St. Jacob Township, IL","292441","IL16LCSDH-07-T-2662-31","","plot","304507","YT_Stj_22-109","2","2","109","36","4","test","","","","","","","12.9","764.44","4129.21","","","","","",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1352","YT_Stj_22","Yield trial to evaluate IL breeding lines","p-rep","","","","","","2021-October-22","","25","St. Jacob Township, IL","271205","2020-13223","IL2020-13223","plot","304640","YT_Stj_22-11","1","1","11","11","1","test","","","","","","","13","748.68","4748.46","","","","","",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1352","YT_Stj_22","Yield trial to evaluate IL breeding lines","p-rep","","","","","","2021-October-22","","25","St. Jacob Township, IL","271728","2020-1862","IL2020-1862","plot","304385","YT_Stj_22-110","1","1","110","35","4","test","","","","","","","12.4","728.3","4068.63","","","","","",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1352","YT_Stj_22","Yield trial to evaluate IL breeding lines","p-rep","","","","","","2021-October-22","","25","St. Jacob Township, IL","272129","2020-602","IL2020-602","plot","304652","YT_Stj_22-111","2","2","111","34","4","test","","","","","","","12","731.32","4803.04","","","","","",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1352","YT_Stj_22","Yield trial to evaluate IL breeding lines","p-rep","","","","","","2021-October-22","","25","St. Jacob Township, IL","97310","17-8930","IL17-8930,WSC 1030","plot","304435","YT_Stj_22-112","1","1","112","33","4","test","","","","","","","12.2","711.43","4538.7","","","","","",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1352","YT_Stj_22","Yield trial to evaluate IL breeding lines","p-rep","","","","","","2021-October-22","","25","St. Jacob Township, IL","239610","19-17662","IL19-17662","plot","304234","YT_Stj_22-113","2","2","113","32","4","test","","","","","","","12.2","753.27","4684.61","","","","","",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1352","YT_Stj_22","Yield trial to evaluate IL breeding lines","p-rep","","","","","","2021-October-22","","25","St. Jacob Township, IL","270948","2020-10023","IL2020-10023","plot","304153","YT_Stj_22-114","1","1","114","31","4","test","","","","","","","12","746.5","4410.49","","","","","",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1352","YT_Stj_22","Yield trial to evaluate IL breeding lines","p-rep","","","","","","2021-October-22","","25","St. Jacob Township, IL","271779","2020-2334","IL2020-2334","plot","304578","YT_Stj_22-115","2","2","115","30","4","test","","","","","","","12.1","733.42","4851.4","","","","","",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1352","YT_Stj_22","Yield trial to evaluate IL breeding lines","p-rep","","","","","","2021-October-22","","25","St. Jacob Township, IL","271181","2020-13001","IL2020-13001","plot","304511","YT_Stj_22-116","1","1","116","29","4","test","","","","","","","12.2","748.2","5145.39","","","","","",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1352","YT_Stj_22","Yield trial to evaluate IL breeding lines","p-rep","","","","","","2021-October-22","","25","St. Jacob Township, IL","240577","18-22976","","plot","304472","YT_Stj_22-117","2","2","117","28","4","test","","","","","","","12","755.36","5318.76","","","","","",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1352","YT_Stj_22","Yield trial to evaluate IL breeding lines","p-rep","","","","","","2021-October-22","","25","St. Jacob Township, IL","239919","19-24061","","plot","304308","YT_Stj_22-118","1","1","118","27","4","test","","","","","","","12.4","729.57","4888.48","","","","","",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1352","YT_Stj_22","Yield trial to evaluate IL breeding lines","p-rep","","","","","","2021-October-22","","25","St. Jacob Township, IL","271159","2020-12650","IL2020-12650","plot","304490","YT_Stj_22-119","2","2","119","26","4","test","","","","","","","12","728.79","5626.64","","","","","",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1352","YT_Stj_22","Yield trial to evaluate IL breeding lines","p-rep","","","","","","2021-October-22","","25","St. Jacob Township, IL","239485","19-15017","IL19-15017","plot","304718","YT_Stj_22-12","2","2","12","12","1","test","","","","","","","12.6","754.17","5381.87","","","","","",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1352","YT_Stj_22","Yield trial to evaluate IL breeding lines","p-rep","","","","","","2021-October-22","","25","St. Jacob Township, IL","240663","18-842","","plot","304332","YT_Stj_22-120","1","1","120","25","4","test","","","","","","","12.1","749.88","5604.87","","","","","",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1352","YT_Stj_22","Yield trial to evaluate IL breeding lines","p-rep","","","","","","2021-October-22","","25","St. Jacob Township, IL","240484","18-12809","","plot","304525","YT_Stj_22-121","2","2","121","24","4","test","","","","","","","11.8","757.43","5076.26","","","","","",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1352","YT_Stj_22","Yield trial to evaluate IL breeding lines","p-rep","","","","","","2021-October-22","","25","St. Jacob Township, IL","292223","IL16LCSDH-10-T-2665-19","","plot","304360","YT_Stj_22-122","1","1","122","23","4","test","","","","","","","12.4","758.81","5355.88","","","","","",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1352","YT_Stj_22","Yield trial to evaluate IL breeding lines","p-rep","","","","","","2021-October-22","","25","St. Jacob Township, IL","239797","19-21829","","plot","304527","YT_Stj_22-123","2","2","123","22","4","test","","","","","","","11.9","745.65","4800.8","","","","","",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1352","YT_Stj_22","Yield trial to evaluate IL breeding lines","p-rep","","","","","","2021-October-22","","25","St. Jacob Township, IL","271573","2020-16637","IL2020-16637","plot","304493","YT_Stj_22-124","1","1","124","21","4","test","","","","","","","12","755.36","6026.9","","","","","",""
